id,name,description,price,interval,features,is_active,created_at,updated_at,components,components_backup
3112f6f2-6bdc-442f-a270-7f282f1feed5,Food Truck Free Trial,14-day full access trial,0,monthly,"[""14-Day Free Access"", ""Try All Features"", ""No Credit Card Required""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""orders.view"", ""menu.basic"", ""inventory.overview"", ""recipes.view"", ""tables.grid"", ""reports.tabs.default"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""customers.basic"", ""staff.roster"", ""expenses.basic"", ""suppliers.basic"", ""settings.basic""]","[""pos.basic"", ""pos.whatsapp_billing"", ""pos.offline_mode"", ""pos.advanced_discounts"", ""pos.custom_items"", ""pos.hold_orders"", ""pos.daily_summary"", ""quickserve.basic"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""kitchen.kds"", ""kitchen.multi_station"", ""kitchen.analytics"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.purchase_orders"", ""inventory.suggestions"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""recipes.costing"", ""recipes.menu_engineering"", ""recipes.batch_processing"", ""tables.grid"", ""tables.timers"", ""tables.optimization"", ""reports.tabs.analytics"", ""reports.tabs.default"", ""reports.tabs.custom_builder"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""financial.invoicing"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""reservations.basic"", ""rooms.management"", ""rooms.housekeeping"", ""rooms.channel_mgmt"", ""gate.access"", ""gate.valet"", ""gate.vip"", ""settings.basic"", ""settings.security"", ""settings.gdpr"", ""ai.assistant"", ""ai.analytics"", ""marketing.campaigns"", ""marketing.whatsapp"", ""marketing.segments"", ""marketing.analytics"", ""marketing.loyalty""]"
09845665-2011-4a1a-b543-68ef8e518dbb,Food Truck Growth - Half-Yearly,Essential operations - 6 Month Saver,3499,half_yearly,"[""QuickServe POS"", ""Inventory Management"", ""Expense Tracking"", ""AI Assistant (Basic)"", ""WhatsApp Marketing"", ""Save ~15%""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""pos.hold_orders"", ""orders.view"", ""menu.basic"", ""menu.modifiers"", ""inventory.overview"", ""inventory.alerts"", ""inventory.transactions"", ""recipes.view"", ""recipes.costing"", ""tables.grid"", ""tables.timers"", ""reports.tabs.default"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""customers.basic"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""expenses.basic"", ""suppliers.basic"", ""suppliers.orders"", ""marketing.campaigns"", ""settings.basic"", ""settings.security""]","[""dashboard"", ""quickserve-pos"", ""orders"", ""menu"", ""inventory"", ""staff"", ""financial"", ""ai"", ""marketing"", ""customers""]"
8af39678-2bc8-4859-887c-f0ae65059642,Food Truck Growth - Monthly,Essential operations for food trucks,699,monthly,"[""QuickServe POS"", ""Inventory Management"", ""Expense Tracking"", ""AI Assistant (Basic)"", ""WhatsApp Marketing""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""pos.hold_orders"", ""orders.view"", ""menu.basic"", ""menu.modifiers"", ""inventory.overview"", ""inventory.alerts"", ""inventory.transactions"", ""recipes.view"", ""recipes.costing"", ""tables.grid"", ""tables.timers"", ""reports.tabs.default"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""customers.basic"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""expenses.basic"", ""suppliers.basic"", ""suppliers.orders"", ""marketing.campaigns"", ""settings.basic"", ""settings.security""]","[""dashboard"", ""quickserve-pos"", ""orders"", ""menu"", ""inventory"", ""staff"", ""financial"", ""ai"", ""marketing"", ""customers""]"
084ed98b-330e-4989-9451-8c915ca89fca,Food Truck Growth - Quarterly,Essential operations - Quarterly Saver,1999,quarterly,"[""QuickServe POS"", ""Inventory Management"", ""Expense Tracking"", ""AI Assistant (Basic)"", ""WhatsApp Marketing"", ""Save ~5%""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""pos.hold_orders"", ""orders.view"", ""menu.basic"", ""menu.modifiers"", ""inventory.overview"", ""inventory.alerts"", ""inventory.transactions"", ""recipes.view"", ""recipes.costing"", ""tables.grid"", ""tables.timers"", ""reports.tabs.default"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""customers.basic"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""expenses.basic"", ""suppliers.basic"", ""suppliers.orders"", ""marketing.campaigns"", ""settings.basic"", ""settings.security""]","[""dashboard"", ""quickserve-pos"", ""orders"", ""menu"", ""inventory"", ""staff"", ""financial"", ""ai"", ""marketing"", ""customers""]"
472d1cd9-2186-4ab5-9f0d-37ce12b4e083,Food Truck Growth - Yearly,Essential operations - Best Value,6499,yearly,"[""QuickServe POS"", ""Inventory Management"", ""Expense Tracking"", ""AI Assistant (Basic)"", ""WhatsApp Marketing"", ""Save ~20%""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""pos.hold_orders"", ""orders.view"", ""menu.basic"", ""menu.modifiers"", ""inventory.overview"", ""inventory.alerts"", ""inventory.transactions"", ""recipes.view"", ""recipes.costing"", ""tables.grid"", ""tables.timers"", ""reports.tabs.default"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""customers.basic"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""expenses.basic"", ""suppliers.basic"", ""suppliers.orders"", ""marketing.campaigns"", ""settings.basic"", ""settings.security""]","[""dashboard"", ""quickserve-pos"", ""orders"", ""menu"", ""inventory"", ""staff"", ""financial"", ""ai"", ""marketing"", ""customers""]"
30af579e-5790-48c7-8ac5-0de2b2ee0e55,Food Truck Professional - Half-Yearly,Complete management - 6 Month Saver,5499,half_yearly,"[""All Growth Features"", ""Advanced Analytics"", ""Full CRM"", ""Financial Reports"", ""Priority Support""]",true,2026-02-16 05:14:10.431353+00,2026-04-18 09:46:19.455565+00,"[""quickserve.basic"", ""quickserve.qsr_pos"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""menu.basic"", ""menu.dynamic_pricing"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""settings.basic"", ""users_permissions.user_access"", ""users_permissions.permission_management"", ""reports.analytics"", ""reports.default.menu_items"", ""menu.modifiers"", ""dashboard.basic"", ""dashboard.custom_widgets"", ""dashboard.room_status"", ""dashboard.staff_attendance"", ""dashboard.food_truck"", ""inventory.purchase_orders"", ""reports.tabs.default"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""reports.default.repeat_customers"", ""reports.tabs.custom_builder""]","[""pos.basic"", ""pos.whatsapp_billing"", ""pos.offline_mode"", ""pos.advanced_discounts"", ""pos.custom_items"", ""pos.hold_orders"", ""pos.daily_summary"", ""quickserve.basic"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""kitchen.kds"", ""kitchen.multi_station"", ""kitchen.analytics"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.purchase_orders"", ""inventory.suggestions"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""recipes.costing"", ""recipes.menu_engineering"", ""recipes.batch_processing"", ""tables.grid"", ""tables.timers"", ""tables.optimization"", ""reports.tabs.analytics"", ""reports.tabs.default"", ""reports.tabs.custom_builder"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""financial.invoicing"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""reservations.basic"", ""rooms.management"", ""rooms.housekeeping"", ""rooms.channel_mgmt"", ""gate.access"", ""gate.valet"", ""gate.vip"", ""settings.basic"", ""settings.security"", ""settings.gdpr"", ""ai.assistant"", ""ai.analytics"", ""marketing.campaigns"", ""marketing.whatsapp"", ""marketing.segments"", ""marketing.analytics"", ""marketing.loyalty""]"
76241e8f-4607-43a5-8f60-54806836a4c0,Food Truck Professional - Monthly,Complete management & scaling tools,999,monthly,"[""All Growth Features"", ""Advanced Analytics"", ""Full CRM"", ""Financial Reports"", ""Priority Support""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:03:51.015521+00,"[""pos.basic"", ""pos.whatsapp_billing"", ""pos.offline_mode"", ""pos.advanced_discounts"", ""pos.custom_items"", ""pos.hold_orders"", ""pos.daily_summary"", ""quickserve.basic"", ""quickserve.qsr_pos"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""kitchen.kds"", ""kitchen.multi_station"", ""kitchen.analytics"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.purchase_orders"", ""inventory.suggestions"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""recipes.costing"", ""recipes.menu_engineering"", ""recipes.batch_processing"", ""tables.grid"", ""tables.timers"", ""tables.optimization"", ""reports.analytics"", ""reports.tabs.analytics"", ""reports.tabs.default"", ""reports.tabs.custom_builder"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""financial.invoicing"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""marketing.campaigns"", ""marketing.whatsapp"", ""marketing.segments"", ""marketing.analytics"", ""marketing.loyalty"", ""reservations.basic"", ""rooms.management"", ""rooms.housekeeping"", ""rooms.channel_mgmt"", ""gate.access"", ""gate.valet"", ""gate.vip"", ""ai.assistant"", ""ai.analytics"", ""settings.basic"", ""settings.security"", ""settings.gdpr"", ""users_permissions.user_access"", ""users_permissions.permission_management""]","[""pos.basic"", ""pos.whatsapp_billing"", ""pos.offline_mode"", ""pos.advanced_discounts"", ""pos.custom_items"", ""pos.hold_orders"", ""pos.daily_summary"", ""quickserve.basic"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""kitchen.kds"", ""kitchen.multi_station"", ""kitchen.analytics"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.purchase_orders"", ""inventory.suggestions"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""recipes.costing"", ""recipes.menu_engineering"", ""recipes.batch_processing"", ""tables.grid"", ""tables.timers"", ""tables.optimization"", ""reports.tabs.analytics"", ""reports.tabs.default"", ""reports.tabs.custom_builder"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""financial.invoicing"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""reservations.basic"", ""rooms.management"", ""rooms.housekeeping"", ""rooms.channel_mgmt"", ""gate.access"", ""gate.valet"", ""gate.vip"", ""settings.basic"", ""settings.security"", ""settings.gdpr"", ""ai.assistant"", ""ai.analytics"", ""marketing.campaigns"", ""marketing.whatsapp"", ""marketing.segments"", ""marketing.analytics"", ""marketing.loyalty""]"
2df39b9b-9667-4647-9a94-b08e8e75df32,Food Truck Professional - Quarterly,Complete management - Quarterly Saver,2899,quarterly,"[""All Growth Features"", ""Advanced Analytics"", ""Full CRM"", ""Financial Reports"", ""Priority Support""]",true,2026-02-16 05:14:10.431353+00,2026-04-05 14:08:39.740238+00,"[""pos.basic"", ""pos.whatsapp_billing"", ""pos.offline_mode"", ""pos.advanced_discounts"", ""pos.custom_items"", ""pos.hold_orders"", ""pos.daily_summary"", ""quickserve.basic"", ""quickserve.qsr_pos"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""kitchen.kds"", ""kitchen.multi_station"", ""kitchen.analytics"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.stocktake"", ""inventory.purchase_orders"", ""inventory.suggestions"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""recipes.view"", ""recipes.costing"", ""recipes.menu_engineering"", ""recipes.batch_processing"", ""tables.grid"", ""tables.timers"", ""tables.optimization"", ""reports.analytics"", ""reports.tabs.analytics"", ""reports.tabs.default"", ""reports.tabs.custom_builder"", ""reports.tabs.export_center"", ""reports.default.orders_sales"", ""reports.default.menu_items"", ""reports.default.inventory"", ""reports.default.customers"", ""reports.default.staff"", ""reports.default.suppliers"", ""reports.default.expenses"", ""reports.default.recipes"", ""reports.default.promotions"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""financial.dashboard"", ""financial.budget"", ""financial.invoicing"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.basic"", ""suppliers.orders"", ""reservations.basic"", ""rooms.management"", ""rooms.housekeeping"", ""rooms.channel_mgmt"", ""gate.access"", ""gate.valet"", ""gate.vip"", ""settings.basic"", ""settings.security"", ""settings.gdpr"", ""users_permissions.user_access"", ""users_permissions.permission_management"", ""ai.assistant"", ""ai.analytics"", ""marketing.campaigns"", ""marketing.whatsapp"", ""marketing.segments"", ""marketing.analytics"", ""marketing.loyalty""]","[""quickserve.basic"", ""quickserve.custom_widgets"", ""quickserve.live_metrics"", ""quickserve.loyalty_integration"", ""quickserve.coupon_engine"", ""orders.view"", ""orders.analytics"", ""orders.third_party_sync"", ""orders.nc_orders"", ""menu.basic"", ""menu.modifiers"", ""menu.dynamic_pricing"", ""menu.multi_location"", ""inventory.overview"", ""inventory.alerts"", ""inventory.purchase_orders"", ""inventory.forecasting"", ""inventory.transactions"", ""inventory.lots"", ""inventory.bill_scan"", ""inventory.stocktake"", ""recipes.view"", ""reports.tabs.analytics"", ""reports.default.menu_items"", ""staff.roster"", ""staff.attendance"", ""staff.shifts"", ""staff.payroll"", ""customers.basic"", ""customers.crm"", ""customers.loyalty"", ""financial.dashboard"", ""expenses.basic"", ""expenses.advanced"", ""suppliers.orders"", ""suppliers.basic"", ""settings.basic""]"
